gen,nevals,avg,min,max
71,93,0.7172160035934492,0.5442501058888808,0.7557242289693817
72,95,0.7209093818985857,0.5243414682451188,0.7557242289693817
73,99,0.7185445413890496,0.4624487033699857,0.7572040825947767
74,87,0.7199666991604144,0.4997700717955265,0.7572040825947767
75,90,0.7182281414402375,0.48968745403432556,0.7572040825947767
76,100,0.7167187203802384,0.5242055428567161,0.7572040825947767
77,102,0.7181747776730507,0.5061295460528892,0.7572040825947767
78,94,0.7206457190844319,0.5338434908775411,0.7580957535427364
79,103,0.7239393409110287,0.5383174345462947,0.7580957535427364
80,101,0.7179811334710612,0.5367214311763009,0.7580957535427364
81,107,0.7182938142084119,0.5827928635439399,0.7572040825947767
82,103,0.7137820925158117,0.514003253528754,0.7572040825947767
83,92,0.7221050962019226,0.546379525379484,0.7572040825947767
84,82,0.7166014021094989,0.4279952729448727,0.7572040825947767
85,97,0.7198712911623308,0.47375421468824114,0.7572040825947767
86,92,0.7225225268334985,0.5557855745542643,0.7572040825947767
87,89,0.7241283989305386,0.523178192850932,0.7572040825947767
88,110,0.7180031458801558,0.5279457297892656,0.7572040825947767
89,95,0.7157197156006577,0.5409309938966471,0.7572040825947767
90,94,0.7196110111211548,0.5187261326385925,0.7572040825947767
91,86,0.7209991787241533,0.5649810618864186,0.7572040825947767
92,101,0.7221450877582737,0.5146221224195755,0.7572040825947767
93,105,0.7198712302036688,0.44550978765952065,0.7572040825947767
94,96,0.7232593475792094,0.5804423118143366,0.7572040825947767
95,102,0.7210173227539676,0.49290960654653065,0.7572040825947767
96,96,0.7231836419505946,0.5913987788156778,0.7572040825947767
97,104,0.7206029502031567,0.4952546744681055,0.7572040825947767
98,102,0.7164021390891643,0.5551383565234105,0.7572040825947767
99,85,0.7192366557522252,0.5368620578787835,0.7572040825947767
100,97,0.7256519760991934,0.5430197519509047,0.7572040825947767
